Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-431.1549	-588.9059	157.7511	2.204987	0.943276	0.0567236	0.6802411
6	-427.6363	-585.3312	157.6949	2.261177	0.984108	0.015892	0.6802411
12	-433.0761	-590.6527	157.5766	2.428373	0.950909	0.0490912	0.4582141
18	-424.2553	-581.6074	157.3521	2.598077	0.857128	0.142872	0.3479179
24	-442.0617	-599.6736	157.612	2.352567	0.888242	0.111758	0.3657267
30	-443.9574	-601.5838	157.6264	2.355822	0.67902	0.32098	0.6240681
36	-437.6293	-595.5212	157.8918	2.113464	0.655691	0.344309	0.5425605
42	-426.8858	-584.2089	157.3231	1.400612	0.498352	0.501648	1.776321
48	-430.7394	-588.6801	157.9407	1.48399	0.835435	0.164565	1.250253
54	-436.4242	-593.2186	156.7944	1.547719	0.758587	0.241413	2.035168
60	-445.2313	-602.5019	157.2705	2.714923	0.711868	0.288132	0.3998243
66	-446.5977	-604.149	157.5513	2.456398	0.880671	0.119329	0.5227114
72	-429.1142	-586.7453	157.631	2.125677	0.869384	0.130616	0.9434771
78	-427.9841	-585.5216	157.5375	1.873307	0.928332	0.0716681	1.261816
84	-425.8076	-583.7142	157.9066	1.648556	0.961811	0.0381887	1.13798
90	-437.9839	-594.9892	157.0052	1.577499	0.587876	0.412124	1.873447
96	-435.0406	-592.3665	157.3259	1.674956	0.55684	0.44316	1.578833
102	-446.5153	-604.5399	158.0246	1.605951	0.635262	0.364738	1.068988
108	-445.2764	-602.9065	157.6301	1.355286	0.480401	0.519599	1.590154
114	-435.6084	-593.4418	157.8333	1.293194	0.426672	0.573328	1.485554
120	-430.8912	-588.5012	157.61	1.454	0.791829	0.208171	1.532324
126	-434.502	-592.1767	157.6747	1.468288	0.781265	0.218735	1.473139
132	-431.1049	-588.7646	157.6597	1.678859	0.741264	0.258736	1.320759
138	-430.7878	-588.6951	157.9073	1.62772	0.864764	0.135236	1.155824
144	-431.6471	-588.8294	157.1823	1.43843	0.832495	0.167505	1.847503
150	-433.6955	-590.6231	156.9276	1.693087	0.996762	0.00323785	1.847503
156	-426.701	-584.661	157.96	1.78355	0.98991	0.0100899	0.9573392
